rank,name,party,constituency,total_speeches,immigration_speeches,hardline_mentions,pro_mentions,immigration_speech_proportion,stance_balance,immigration_attitude_score,attitude_band
407,John Finucane,Sinn Fein,Belfast North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
408,Adam Jogee,Labour,Newcastle-under-Lyme,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
409,Liam Conlon,Labour,Beckenham and Penge,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
410,Marsha De Cordova,Labour,Battersea,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
411,Lee Dillon,Liberal Democrat,Newbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
412,Rachel Taylor,Labour,North Warwickshire and Bedworth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
413,Sadik Al-Hassan,Labour,North Somerset,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
414,Helen Morgan,Liberal Democrat,North Shropshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
415,David Smith,Labour,North Northumberland,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
416,Steffan Aquarone,Liberal Democrat,North Norfolk,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
417,Ellie Chowns,Green,North Herefordshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
418,Dan Norris,Labour,North East Somerset and Hanham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
419,Chris Hinchliff,Labour,North East Hertfordshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
420,Alex Brewer,Liberal Democrat,North East Hampshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
421,Kirsteen Sullivan,Labour and Co-operative,Bathgate and Linlithgow,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
422,Louise Jones,Labour,North East Derbyshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
423,Luke Akehurst,Labour,North Durham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
424,Alex Easton,Independent,North Down,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
425,Ian Roome,Liberal Democrat,North Devon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
426,Jo White,Labour,Bassetlaw,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
427,Sarah Edwards,Labour,Tamworth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
428,Louie French,Conservative,Old Bexley and Sidcup,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
429,Jodie Gosling,Labour,Nuneaton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
430,Kenneth Stevenson,Labour,Airdrie and Shotts,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
431,Josh Newbury,Labour,Cannock Chase,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
432,Alice Macdonald,Labour and Co-operative,Norwich North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
433,Mike Reader,Labour,Northampton South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
434,Lucy Rigby,Labour,Northampton North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
435,Amanda Hack,Labour,North West Leicestershire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
436,Perran Moon,Labour,Camborne and Redruth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
437,Josh Fenton-Glynn,Labour,Calder Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
438,Sam Carling,Labour,North West Cambridgeshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
439,Fred Thomas,Labour,Plymouth Moor View,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
440,Andrew Pakes,Labour and Co-operative,Peterborough,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
441,Markus Campbell-Savours,Labour,Penrith and Solway,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
442,Marie Tidball,Labour,Penistone and Stocksbridge,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
443,Jonathan Hinder,Labour,Pendle and Clitheroe,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
444,Miatta Fahnbulleh,Labour and Co-operative,Peckham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
445,Johanna Baxter,Labour,Paisley and Renfrewshire South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
446,Alison Taylor,Labour,Paisley and Renfrewshire North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
447,Ann Davies,Plaid Cymru,Caerfyrddin,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
448,Jade Botterill,Labour,Ossett and Denby Dale,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
449,Dan Tomlinson,Labour,Chipping Barnet,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
450,Sarah Gibson,Liberal Democrat,Chippenham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
451,Jess Brown-Fuller,Liberal Democrat,Chichester,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
452,Rebecca Paul,Conservative,Reigate,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
453,Chris Bloore,Labour,Redditch,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
454,Aphra Brandreth,Conservative,Chester South and Eddisbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
455,Olivia Bailey,Labour,Reading West and Mid Berkshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
456,Samantha Dixon,Labour,Chester North and Neston,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
457,Sarah Green,Liberal Democrat,Chesham and Amersham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
458,Georgia Gould,Labour,Queen's Park and Maida Vale,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
459,Max Wilkinson,Liberal Democrat,Cheltenham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
460,Luke Murphy,Labour,Basingstoke,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
461,Ben Coleman,Labour,Chelsea and Fulham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
462,Michelle Scrogham,Labour,Barrow and Furness,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
463,Sam Rushworth,Labour,Bishop Auckland,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
464,Al Carns,Labour,Birmingham Selly Oak,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
465,Ayoub Khan,Independent,Birmingham Perry Barr,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
466,Laurence Turner,Labour,Birmingham Northfield,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
467,Marie Goldman,Liberal Democrat,Chelmsford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
468,Tom Morrison,Liberal Democrat,Cheadle,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
469,Paulette Hamilton,Labour,Birmingham Erdington,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
470,Preet Gill,Labour and Co-operative,Birmingham Edgbaston,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
471,Tristan Osborne,Labour,Chatham and Aylesford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
472,Calum Miller,Liberal Democrat,Bicester and Woodstock,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
473,Daniel Francis,Labour,Bexleyheath and Crayford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
474,Patrick Spencer,Conservative,Central Suffolk and North Ipswich,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
475,Amanda Martin,Labour,Portsmouth North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
476,Neil Duncan-Jordan,Labour,Poole,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
477,Michael Shanks,Labour,Rutherglen,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
478,James Naish,Labour,Rushcliffe,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
479,Lee Barron,Labour,Corby and East Northamptonshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
480,John Slinger,Labour,Rugby,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
481,Jake Richards,Labour,Rother Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
482,Andy MacNae,Labour,Rossendale and Darwen,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
483,Sarah Russell,Labour,Congleton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
484,Lauren Edwards,Labour,Rochester and Strood,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
485,Paul Waugh,Labour and Co-operative,Rochdale,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
486,Paul Davies,Labour,Colne Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
487,Maya Ellis,Labour,Ribble Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
488,Pam Cox,Labour,Colchester,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
489,Simon Lightwood,Labour and Co-operative,Wakefield and Rothwell,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
490,Frank McNally,Labour,Coatbridge and Bellshill,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
491,Kanishka Narayan,Labour,Vale of Glamorgan,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
492,Danny Beales,Labour,Uxbridge and South Ruislip,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
493,Gill German,Labour,Clwyd North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
494,Becky Gittins,Labour,Clwyd East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
495,Mike Martin,Liberal Democrat,Tunbridge Wells,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
496,Jayne Kirkham,Labour and Co-operative,Truro and Falmouth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
497,Nigel Farage,Reform UK,Clacton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
498,Steve Darling,Liberal Democrat,Torbay,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
499,Rachel Blake,Labour and Co-operative,Cities of London and Westminster,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
500,Julia Buckley,Labour,Shrewsbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
501,Anna Dixon,Labour,Shipley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
502,Michelle Welsh,Labour,Sherwood Forest,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
503,Iqbal Mohamed,Independent,Dewsbury and Batley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
504,John Whitby,Labour,Derbyshire Dales,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
505,Abtisam Mohamed,Labour,Sheffield Central,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
506,Keir Mather,Labour,Selby,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
507,Baggy Shanker,Labour and Co-operative,Derby South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
508,Alison Hume,Labour,Scarborough and Whitby,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
509,Catherine Atkinson,Labour,Derby North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
510,Jim Dickson,Labour,Dartford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
511,Lola McEvoy,Labour,Darlington,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
512,Anna Gelderd,Labour,South East Cornwall,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
513,Chris Hazzard,Sinn Fein,South Down,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
514,Lloyd Hatton,Labour,South Dorset,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
515,Caroline Voaden,Liberal Democrat,South Devon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
516,Samantha Niblett,Labour,South Derbyshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
517,Roz Savage,Liberal Democrat,South Cotswolds,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
518,Pippa Heylings,Liberal Democrat,South Cambridgeshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
519,James McMurdock,Reform UK,South Basildon and East Thurrock,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
520,Robin Swann,Ulster Unionist Party,South Antrim,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
521,Neil Shastri-Hurst,Conservative,Solihull West and Shirley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
522,Gurinder Josan,Labour,Smethwick,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
523,Margaret Mullane,Labour,Dagenham and Rainham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
524,Katrina Murray,Labour,Cumbernauld and Kirkintilloch,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
525,Kevin McKenna,Labour,Sittingbourne and Sheppey,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
526,Natasha Irons,Labour,Croydon East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
527,David Burton-Sampson,Labour,Southend West and Leigh,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
528,Bayo Alaba,Labour,Southend East and Rochford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
529,Satvir Kaur,Labour,Southampton Test,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
530,Darren Paffey,Labour,Southampton Itchen,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
531,Connor Naismith,Labour,Crewe and Nantwich,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
532,Terry Jermy,Labour,South West Norfolk,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
533,Rebecca Smith,Conservative,South West Devon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
534,Peter Lamb,Labour,Crawley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
535,Emma Foody,Labour and Co-operative,Cramlington and Killingworth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
536,Paul Foster,Labour,South Ribble,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
537,Sarah Bool,Conservative,South Northamptonshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
538,Ben Goldsborough,Labour,South Norfolk,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
539,Chris McDonald,Labour,Stockton North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
540,Chris Kane,Labour,Stirling and Strathallan,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
541,Kevin Bonavia,Labour,Stevenage,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
542,Melanie Ward,Labour,Cowdenbeath and Kirkcaldy,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
543,Leigh Ingham,Labour,Stafford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
544,Ian Sollom,Liberal Democrat,St Neots and Mid Cambridgeshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
545,Andrew George,Liberal Democrat,St Ives,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
546,David Baines,Labour,St Helens North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
547,Noah Law,Labour,St Austell and Newquay,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
548,Liz Saville Roberts,Plaid Cymru,Dwyfor Meirionnydd,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
549,Kim Leadbeater,Labour,Spen Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
550,Lincoln Jopp,Conservative,Spelthorne,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
551,Patrick Hurley,Labour,Southport,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
552,Alex Mayer,Labour,Dunstable and Leighton Buzzard,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
553,Al Pinkerton,Liberal Democrat,Surrey Heath,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
554,Lewis Atkinson,Labour,Sunderland Central,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
555,Jenny Riddell-Carpenter,Labour,Suffolk Coastal,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
556,Simon Opher,Labour,Stroud,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
557,Andrew Western,Labour,Stretford and Urmston,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
558,Manuela Perteghella,Liberal Democrat,Stratford-on-Avon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
559,Uma Kumaran,Labour,Stratford and Bow,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
560,Graeme Downie,Labour,Dunfermline and Dollar,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
561,Cat Eccles,Labour,Stourbridge,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
562,John Cooper,Conservative,Dumfries and Galloway,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
563,Allison Gardner,Labour,Stoke-on-Trent South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
564,David Williams,Labour,Stoke-on-Trent North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
565,Rachel Gilmour,Liberal Democrat,Tiverton and Minehead,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
566,Antonia Bance,Labour,Tipton and Wednesbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
567,Jen Craft,Labour,Thurrock,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
568,Claire Young,Liberal Democrat,Thornbury and Yate,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
569,Sonia Kumar,Labour,Dudley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
570,Cameron Thomas,Liberal Democrat,Tewkesbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
571,Shaun Davies,Labour,Telford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
572,Luke Charters,Labour,York Outer,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
573,Mike Tapp,Labour,Dover and Deal,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
574,Luke Taylor,Liberal Democrat,Sutton and Cheam,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
575,Connor Rand,Labour,Altrincham and Sale West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
576,Llinos Medi,Plaid Cymru,Ynys Môn,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
577,Adam Dance,Liberal Democrat,Yeovil,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
578,Andrew Ranger,Labour,Wrexham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
579,Beccy Cooper,Labour,Worthing West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
580,Michael Wheeler,Labour,Worsley and Eccles,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
581,Tom Collins,Labour,Worcester,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
582,Chris Coghlan,Liberal Democrat,Dorking and Horley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
583,Lee Pitcher,Labour,Doncaster East and the Isle of Axholme,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
584,Sally Jameson,Labour and Co-operative,Doncaster Central,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
585,Olly Glover,Liberal Democrat,Didcot and Wantage,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
586,Linsey Farnsworth,Labour,Amber Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
587,Brian Leishman,Labour,Alloa and Grangemouth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
588,Alex Baker,Labour,Aldershot,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
589,Nesil Caliskan,Labour,Barking,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
590,Claire Hughes,Labour,Bangor Aberconwy,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
591,Sean Woodcock,Labour,Banbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
592,Elaine Stewart,Labour,"Ayr, Carrick and Cumnock",0,0,0,0,0.0,0.0,43.8,Mixed / unclear
593,Laura Kyrke-Smith,Labour,Aylesbury,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
594,Josh Babarinde,Liberal Democrat,Eastbourne,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
595,Sojan Joseph,Labour,Ashford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
596,Seamus Logan,Scottish National Party,Aberdeenshire North and Moray East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
597,Alan Gemmell,Labour,Central Ayrshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
598,Tom Rutland,Labour,East Worthing and Shoreham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
599,Bobby Dean,Liberal Democrat,Carshalton and Wallington,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
600,Julie Minns,Labour,Carlisle,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
601,Alex Barros-Curtis,Labour,Cardiff West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
602,Polly Billington,Labour,East Thanet,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
603,Jack Rankin,Conservative,Windsor,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
604,Gareth Thomas,Labour and Co-operative,Harrow West,259,5,56,109,0.019305019305019305,-0.3212121212121212,43.5,Mixed / unclear
605,James Cleverly,Conservative,Braintree,546,29,125,366,0.05311355311355311,-0.4908350305498982,42.1,Mixed / unclear
606,Marie Rimmer,Labour,St Helens South and Whiston,85,1,27,53,0.011764705882352941,-0.325,42.1,Mixed / unclear
607,Jeremy Hunt,Conservative,Godalming and Ash,1484,17,138,274,0.011455525606469003,-0.3300970873786408,41.8,Mixed / unclear
608,Karl Turner,Labour,Kingston upon Hull East,120,2,29,61,0.016666666666666666,-0.35555555555555557,41.7,Mixed / unclear
609,Roger Gale,Conservative,Herne Bay and Sandwich,116,7,17,55,0.0603448275862069,-0.5277777777777778,41.7,Mixed / unclear
610,David Simmonds,Conservative,"Ruislip, Northwood and Pinner",119,15,34,157,0.12605042016806722,-0.643979057591623,41.6,Mixed / unclear
611,Edward Argar,Conservative,Melton and Syston,506,9,85,185,0.017786561264822136,-0.37037037037037035,41.5,Mixed / unclear
612,Fabian Hamilton,Labour,Leeds North East,81,1,38,79,0.012345679012345678,-0.3504273504273504,41.2,Mixed / unclear
613,Lindsay Hoyle,Speaker,Chorley,2656,22,83,167,0.008283132530120483,-0.336,41.1,Mixed / unclear
614,Gareth Snell,Labour and Co-operative,Stoke-on-Trent Central,194,5,18,44,0.02577319587628866,-0.41935483870967744,41.1,Mixed / unclear
615,Simon Hoare,Conservative,North Dorset,409,14,33,88,0.034229828850855744,-0.45454545454545453,40.9,Mixed / unclear
616,Robert Jenrick,Conservative,Newark,794,9,135,284,0.011335012594458438,-0.3556085918854415,40.9,Mixed / unclear
617,David Mundell,Conservative,"Dumfriesshire, Clydesdale and Tweeddale",581,38,27,99,0.06540447504302926,-0.5714285714285714,40.9,Mixed / unclear
618,Harriett Baldwin,Conservative,West Worcestershire,576,23,97,278,0.03993055555555555,-0.4826666666666667,40.8,Mixed / unclear
619,Jamie Stone,Liberal Democrat,"Caithness, Sutherland and Easter Ross",330,20,21,74,0.06060606060606061,-0.5578947368421052,40.7,Mixed / unclear
620,Rishi Sunak,Conservative,Richmond and Northallerton,1112,9,239,492,0.008093525179856115,-0.34610123119015046,40.7,Mixed / unclear
621,Robbie Moore,Conservative,Keighley and Ilkley,97,2,30,72,0.020618556701030927,-0.4117647058823529,40.6,Mixed / unclear
622,Martin Vickers,Conservative,Brigg and Immingham,353,11,37,99,0.031161473087818695,-0.45588235294117646,40.5,Mixed / unclear
623,Caroline Dinenage,Conservative,Gosport,678,10,104,241,0.014749262536873156,-0.39710144927536234,40.0,Liberal
624,Wendy Morton,Conservative,Aldridge-Brownhills,296,10,55,162,0.033783783783783786,-0.4930875576036866,39.5,Liberal
625,Geoffrey Clifton-Brown,Conservative,North Cotswolds,220,5,30,81,0.022727272727272728,-0.4594594594594595,39.3,Liberal
626,John Glen,Conservative,Salisbury,392,6,73,180,0.015306122448979591,-0.42292490118577075,39.1,Liberal
627,Jon Trickett,Labour,Normanton and Hemsworth,44,0,19,25,0.0,-0.13636363636363635,39.0,Liberal
628,Neil O'Brien,Conservative,"Harborough, Oadby and Wigston",203,14,25,122,0.06896551724137931,-0.6598639455782312,38.0,Liberal
629,Alberto Costa,Conservative,South Leicestershire,141,5,11,38,0.03546099290780142,-0.5510204081632653,37.8,Liberal
630,Paul Holmes,Conservative,Hamble Valley,64,3,9,37,0.046875,-0.6086956521739131,37.2,Liberal
631,Mark Pritchard,Conservative,The Wrekin,121,4,15,53,0.03305785123966942,-0.5588235294117647,37.1,Liberal
632,Damian Hinds,Conservative,East Hampshire,693,7,46,128,0.010101010101010102,-0.47126436781609193,36.7,Liberal
633,Stuart Anderson,Conservative,South Shropshire,90,1,11,31,0.011111111111111112,-0.47619047619047616,36.6,Liberal
634,Esther McVey,Conservative,Tatton,289,1,21,56,0.0034602076124567475,-0.45454545454545453,36.6,Liberal
635,Steve Barclay,Conservative,North East Cambridgeshire,491,12,51,175,0.024439918533604887,-0.5486725663716814,36.4,Liberal
636,Jeremy Wright,Conservative,Kenilworth and Southam,464,9,53,174,0.01939655172413793,-0.5330396475770925,36.1,Liberal
637,James Wild,Conservative,North West Norfolk,47,1,12,42,0.02127659574468085,-0.5555555555555556,35.7,Liberal
638,Helen Whately,Conservative,Faversham and Mid Kent,511,16,64,260,0.03131115459882583,-0.6049382716049383,35.3,Liberal
639,Nigel Huddleston,Conservative,Droitwich and Evesham,485,3,53,163,0.006185567010309278,-0.5092592592592593,34.9,Liberal
640,Nicholas Dakin,Labour,Scunthorpe,240,2,23,73,0.008333333333333333,-0.5208333333333334,34.7,Liberal
641,Alan Campbell,Labour,Tynemouth,13,4,1,14,0.3076923076923077,-0.8666666666666667,34.6,Liberal
642,James Frith,Labour,Bury North,50,0,17,30,0.0,-0.2765957446808511,34.1,Liberal
643,Laura Trott,Conservative,Sevenoaks,79,0,29,52,0.0,-0.2839506172839506,33.8,Liberal
644,Geoffrey Cox,Conservative,Torridge and Tavistock,358,16,15,98,0.0446927374301676,-0.7345132743362832,32.5,Liberal
645,Matt Vickers,Conservative,Stockton West,76,1,9,37,0.013157894736842105,-0.6086956521739131,32.3,Liberal
646,Mims Davies,Conservative,East Grinstead and Uckfield,460,5,38,155,0.010869565217391304,-0.6062176165803109,32.0,Liberal
647,Gareth Davies,Conservative,Grantham and Bourne,54,0,10,22,0.0,-0.375,30.6,Liberal
648,Alan Mak,Conservative,Havant,191,1,9,63,0.005235602094240838,-0.75,26.4,Liberal
649,Luke Evans,Conservative,Hinckley and Bosworth,130,0,10,43,0.0,-0.6226415094339622,22.0,Liberal
650,Gagan Mohindra,Conservative,South West Hertfordshire,64,0,8,41,0.0,-0.673469387755102,20.2,Liberal
