name,member_id,membership_start,membership_end,total_years_as_mp
Robin Millar,4746,2019-12-12,2024-05-30,4.47
Leo Docherty,4600,2017-06-08,2024-05-30,6.98
Wendy Morton,4358,2015-05-07,2026-02-27,10.81
Nigel Mills,4136,2010-05-06,2024-05-30,14.07
Andrew Griffith,4874,2019-12-12,2026-02-27,6.21
Lee Anderson,4743,2019-12-12,2026-02-27,6.21
Damian Green,76,1997-05-01,2024-05-30,27.08
Rob Butler,4745,2019-12-12,2024-05-30,4.47
David Duguid,4606,2017-06-08,2024-05-30,6.98
Simon Fell,4744,2019-12-12,2024-05-30,4.47
John Baron,1390,2001-06-07,2024-05-30,22.98
Maria Miller,1480,2005-05-05,2024-05-30,19.07
Brendan Clarke-Smith,4756,2019-12-12,2024-05-30,4.47
Joy Morrissey,4759,2019-12-12,2026-02-27,6.21
Bob Stewart,3919,2010-05-06,2024-05-30,14.07
Anne-Marie Trevelyan,4531,2015-05-07,2024-05-30,9.07
John Lamont,4608,2017-06-08,2026-02-27,8.72
Graham Stuart,1482,2005-05-05,2026-02-27,20.82
Huw Merriman,4442,2015-05-07,2024-05-30,9.07
David Evennett,1198,1983-06-09,2024-05-30,32.96
Gary Sambrook,4760,2019-12-12,2024-05-30,4.47
Dehenna Davison,4737,2019-12-12,2024-05-30,4.47
Paul Maynard,3926,2010-05-06,2024-05-30,14.07
Scott Benton,4793,2019-12-12,2024-03-25,4.28
Ian Levy,4749,2019-12-12,2024-05-30,4.47
Nick Gibb,111,1997-05-01,2024-05-30,27.08
Mark Fletcher,4774,2019-12-12,2024-05-30,4.47
Mark Logan,4815,2019-12-12,2024-05-30,4.47
Chris Green,4398,2015-05-07,2024-05-30,9.07
Matt Warman,4361,2015-05-07,2024-05-30,9.07
Luke Evans,4781,2019-12-12,2026-02-27,6.21
Tobias Ellwood,1487,2005-05-05,2024-05-30,19.07
Conor Burns,3922,2010-05-06,2024-05-30,14.07
James Sunderland,4767,2019-12-12,2024-05-30,4.47
James Cleverly,4366,2015-05-07,2026-02-27,10.81
Fay Jones,4763,2019-12-12,2024-05-30,4.47
Alex Burghart,4613,2017-06-08,2026-02-27,8.72
Jamie Wallis,4766,2019-12-12,2024-05-30,4.47
Ian Liddell-Grainger,1396,2001-06-07,2024-05-30,22.98
Andrew Percy,3939,2010-05-06,2024-05-30,14.07
Jerome Mayhew,4739,2019-12-12,2026-02-27,6.21
Robert Neill,1601,2006-06-29,2024-05-30,17.92
Sajid Javid,3945,2010-05-06,2024-05-30,14.07
Charles Walker,1493,2005-05-05,2024-05-30,19.07
Darren Henry,4794,2019-12-12,2024-05-30,4.47
Greg Smith,4778,2019-12-12,2026-02-27,6.21
Antony Higginbotham,4833,2019-12-12,2024-05-30,4.47
James Daly,4854,2019-12-12,2024-05-30,4.47
Christian Wakeford,4871,2019-12-12,2026-02-27,6.21
Jo Churchill,4380,2015-05-07,2024-05-30,9.07
Craig Whittaker,3940,2010-05-06,2024-05-30,14.07
George Eustice,3934,2010-05-06,2024-05-30,14.07
Amanda Milling,4454,2015-05-07,2024-05-30,9.07
John Stevenson,3942,2010-05-06,2024-05-30,14.07
Elliot Colburn,4775,2019-12-12,2024-05-30,4.47
Rebecca Harris,3948,2010-05-06,2026-02-27,15.81
Mel Stride,3935,2010-05-06,2026-02-27,15.81
Dan Poulter,3932,2010-05-06,2024-05-30,14.07
Edward Argar,4362,2015-05-07,2026-02-27,10.81
Tracey Crouch,3950,2010-05-06,2024-05-30,14.07
Mary Robinson,4406,2015-05-07,2024-05-30,9.07
Vicky Ford,4674,2017-06-08,2024-05-30,6.98
Greg Hands,1526,2005-05-05,2024-05-30,19.07
Alex Chalk,4481,2015-05-07,2024-05-30,9.07
Cheryl Gillan,18,1992-04-09,2021-04-04,28.99
Gillian Keegan,4680,2017-06-08,2024-05-30,6.98
Iain Duncan Smith,152,1992-04-09,2026-02-27,33.89
Michelle Donelan,4530,2015-05-07,2024-05-30,9.07
Theresa Villiers,1500,2005-05-05,2024-05-30,19.07
Christopher Chope,242,1983-06-09,2026-02-27,37.66
Nickie Aiken,4741,2019-12-12,2024-05-30,4.47
Giles Watling,4677,2017-06-08,2024-05-30,6.98
Martin Vickers,3957,2010-05-06,2026-02-27,15.81
Simon Baynes,4800,2019-12-12,2024-05-30,4.47
David Jones,1502,2005-05-05,2024-05-30,19.07
Will Quince,4423,2015-05-07,2024-05-30,9.07
Jason McCartney,3953,2010-05-06,2024-05-30,11.46
Fiona Bruce,3958,2010-05-06,2024-05-30,14.07
Trudy Harrison,4593,2017-02-23,2024-05-30,7.26
Tom Pursglove,4369,2015-05-07,2024-05-30,9.07
Henry Smith,3960,2010-05-06,2024-05-30,14.07
Kieran Mullan,4860,2019-12-12,2026-02-27,6.21
Chris Philp,4503,2015-05-07,2026-02-27,10.81
Peter Gibson,4754,2019-12-12,2024-05-30,4.47
Gareth Johnson,3970,2010-05-06,2024-05-30,14.07
Chris Heaton-Harris,3977,2010-05-06,2024-05-30,14.07
Rob Roberts,4810,2019-12-12,2024-05-30,4.47
Amanda Solloway,4372,2015-05-07,2024-05-30,6.46
Sarah Dines,4816,2019-12-12,2024-05-30,4.47
Danny Kruger,4858,2019-12-12,2026-02-27,6.21
Mark Eastwood,4807,2019-12-12,2024-05-30,4.47
Nick Fletcher,4832,2019-12-12,2024-05-30,4.47
Natalie Elphicke,4795,2019-12-12,2024-05-30,4.47
Marco Longhi,4789,2019-12-12,2024-05-30,4.47
Mike Wood,401,1997-05-01,2015-03-30,17.91
David Mundell,1512,2005-05-05,2026-02-27,20.82
Simon Jupp,4862,2019-12-12,2024-05-30,4.47
Damian Hinds,3969,2010-05-06,2026-02-27,15.81
Claire Coutinho,4806,2019-12-12,2026-02-27,6.21
Tim Loughton,114,1997-05-01,2024-05-30,27.08
Greg Knight,1200,1983-06-09,2024-05-30,36.87
Caroline Ansell,4512,2015-05-07,2024-05-30,6.46
Paul Holmes,1404,2001-06-07,2010-05-06,8.91
Edward Timpson,1605,2008-05-22,2024-05-30,13.41
Alec Shelbrooke,3997,2010-05-06,2026-02-27,15.81
Maggie Throup,4447,2015-05-07,2024-05-30,9.07
Dominic Raab,4007,2010-05-06,2024-05-30,14.07
Suella Braverman,4475,2015-05-07,2026-02-27,10.81
Helen Whately,4527,2015-05-07,2026-02-27,10.81
Jack Lopresti,3989,2010-05-06,2024-05-30,14.07
Mike Freer,4004,2010-05-06,2024-05-30,14.07
Damian Collins,3986,2010-05-06,2024-05-30,14.07
Mark Menzies,3998,2010-05-06,2024-05-30,14.07
Edward Leigh,345,1983-06-09,2026-02-27,42.72
Tom Randall,4845,2019-12-12,2024-05-30,4.47
Rehman Chishti,3987,2010-05-06,2024-05-30,14.07
Richard Graham,3990,2010-05-06,2024-05-30,14.07
Caroline Dinenage,4008,2010-05-06,2026-02-27,15.81
Gareth Davies,4850,2019-12-12,2026-02-27,6.21
Adam Holloway,1522,2005-05-05,2024-05-30,19.07
Lia Nici,4851,2019-12-12,2024-05-30,4.47
Brandon Lewis,4009,2010-05-06,2024-05-30,14.07
Angela Richardson,4840,2019-12-12,2024-05-30,4.47
James Morris,3992,2010-05-06,2024-05-30,14.07
David Davis,373,1987-06-11,2026-02-27,38.66
Neil O'Brien,4679,2017-06-08,2026-02-27,8.72
Robert Halfon,3985,2010-05-06,2024-05-30,14.07
Andrew Jones,3996,2010-05-06,2024-05-30,14.07
Bob Blackman,4005,2010-05-06,2026-02-27,15.81
Bernard Jenkin,40,1992-04-09,2026-02-27,33.89
Sally-Ann Hart,4842,2019-12-12,2024-05-30,4.47
Alan Mak,4484,2015-05-07,2026-02-27,10.81
William Wragg,4429,2015-05-07,2024-05-30,9.07
Mike Penning,1528,2005-05-05,2024-05-30,19.07
Matthew Offord,4006,2010-05-06,2024-05-30,14.07
John Howell,1606,2008-06-26,2024-05-30,15.93
Jesse Norman,3991,2010-05-06,2026-02-27,15.81
Julie Marson,4768,2019-12-12,2024-05-30,4.47
Oliver Dowden,4441,2015-05-07,2026-02-27,10.81
Guy Opperman,4142,2010-05-06,2024-05-30,14.07
Chris Clarkson,4835,2019-12-12,2024-05-30,4.47
Robert Largan,4852,2019-12-12,2024-05-30,4.47
Bim Afolami,4639,2017-06-08,2024-05-30,6.98
Julia Lopez,4647,2017-06-08,2026-02-27,8.72
Jeremy Quin,4507,2015-05-07,2024-05-30,9.07
Jonathan Djanogly,1425,2001-06-07,2024-05-30,22.98
Sara Britcliffe,4838,2019-12-12,2024-05-30,4.47
Tom Hunt,4771,2019-12-12,2024-05-30,4.47
Bob Seely,4681,2017-06-08,2024-05-30,6.98
Robbie Moore,4861,2019-12-12,2026-02-27,6.21
Jeremy Wright,1560,2005-05-05,2026-02-27,20.82
Felicity Buchan,4821,2019-12-12,2024-05-30,4.47
Philip Hollobone,1537,2005-05-05,2024-05-30,19.07
Chris Skidmore,4021,2010-05-06,2024-01-08,13.68
James Grundy,4843,2019-12-12,2024-05-30,4.47
Maria Caulfield,4492,2015-05-07,2024-05-30,9.07
Michael Fabricant,280,1992-04-09,2024-05-30,32.14
Karl McCartney,4028,2010-05-06,2024-05-30,11.46
Jane Hunt,4839,2019-12-12,2024-05-30,4.47
Victoria Atkins,4399,2015-05-07,2026-02-27,10.81
Philip Dunne,1542,2005-05-05,2024-05-30,19.07
David Rutley,4033,2010-05-06,2024-05-30,14.07
Helen Grant,4018,2010-05-06,2026-02-27,15.81
John Whittingdale,39,1992-04-09,2026-02-27,33.89
Ben Bradley,4663,2017-06-08,2024-05-30,6.98
Flick Drummond,4459,2015-05-07,2024-05-30,6.46
Saqib Bhatti,4818,2019-12-12,2026-02-27,6.21
Nadine Dorries,1481,2005-05-05,2023-08-29,18.32
Pauline Latham,4025,2010-05-06,2024-05-30,14.07
Michael Tomlinson,4497,2015-05-07,2024-05-30,9.07
George Freeman,4020,2010-05-06,2026-02-27,15.81
Mims Davies,4513,2015-05-07,2026-02-27,10.81
Nigel Huddleston,4407,2015-05-07,2026-02-27,10.81
Simon Clarke,4655,2017-06-08,2024-05-30,6.98
Ben Everitt,4836,2019-12-12,2024-05-30,4.47
Iain Stewart,4015,2010-05-06,2024-05-30,14.07
Paul Beresford,103,1992-04-09,2024-05-30,32.14
Craig Williams,4438,2015-05-07,2024-05-30,6.46
Douglas Ross,4627,2017-06-08,2024-05-30,6.98
David Morris,4135,2010-05-06,2024-05-30,14.07
Andrea Jenkyns,4490,2015-05-07,2024-05-30,9.07
Julian Lewis,54,1997-05-01,2026-02-27,28.83
Desmond Swayne,55,1997-05-01,2026-02-27,28.83
Robert Jenrick,4320,2014-06-05,2026-02-27,11.73
Laura Farris,4826,2019-12-12,2024-05-30,4.47
Aaron Bell,4837,2019-12-12,2024-05-30,4.47
Anne Marie Morris,4249,2010-05-06,2024-05-30,14.07
Scott Mann,4496,2015-05-07,2024-05-30,9.07
Selaine Saxby,4863,2019-12-12,2024-05-30,4.47
Simon Hoare,4494,2015-05-07,2026-02-27,10.81
Richard Fuller,3912,2010-05-06,2026-02-27,13.2
Lee Rowley,4652,2017-06-08,2024-05-30,6.98
Ranil Jayawardena,4498,2015-05-07,2024-05-30,9.07
Oliver Heald,69,1992-04-09,2024-05-30,32.14
Jacob Rees-Mogg,4099,2010-05-06,2024-05-30,14.07
Bill Wiggin,1428,2001-06-07,2024-05-30,22.98
Duncan Baker,4784,2019-12-12,2024-05-30,4.47
Owen Paterson,274,1997-05-01,2021-11-05,24.51
Liam Fox,223,1992-04-09,2024-05-30,32.14
Justin Tomlinson,4105,2010-05-06,2024-05-30,14.07
Roger Gale,87,1983-06-09,2026-02-27,42.72
Craig Tracey,4509,2015-05-07,2024-05-30,9.07
Shailesh Vara,1496,2005-05-05,2024-05-30,19.07
Richard Holden,4813,2019-12-12,2026-02-27,6.21
Kit Malthouse,4495,2015-05-07,2026-02-27,10.81
Andrew Bridgen,4133,2010-05-06,2024-05-30,14.07
James Wild,4787,2019-12-12,2026-02-27,6.21
James Gray,261,1997-05-01,2024-05-30,27.08
Michael Ellis,4116,2010-05-06,2024-05-30,14.07
Andrew Lewer,4659,2017-06-08,2024-05-30,6.98
Chloe Smith,1609,2009-07-23,2024-05-30,14.85
Marcus Jones,4024,2010-05-06,2024-05-30,14.07
James Brokenshire,1530,2005-05-05,2021-10-07,16.42
Gareth Bacon,4798,2019-12-12,2026-02-27,6.21
Andrew Stephenson,4044,2010-05-06,2024-05-30,14.07
Miriam Cates,4865,2019-12-12,2024-05-30,4.47
Neil Hudson,4853,2019-12-12,2026-02-27,6.21
Paul Bristow,4792,2019-12-12,2024-05-30,4.47
Johnny Mercer,4485,2015-05-07,2024-05-30,9.07
Robert Syms,245,1997-05-01,2024-05-30,27.08
Penny Mordaunt,4017,2010-05-06,2024-05-30,14.07
Stephen Crabb,1554,2005-05-05,2024-05-30,19.07
Stuart Andrew,4032,2010-05-06,2026-02-27,15.81
Mark Francois,1444,2001-06-07,2026-02-27,24.73
Jacob Young,4825,2019-12-12,2024-05-30,4.47
Crispin Blunt,104,1997-05-01,2024-05-30,27.08
Nigel Evans,474,1992-04-09,2024-05-30,32.14
Rishi Sunak,4483,2015-05-07,2026-02-27,10.81
Kelly Tolhurst,4487,2015-05-07,2024-05-30,9.07
James Duddridge,1559,2005-05-05,2024-05-30,19.07
Andrew Rosindell,1447,2001-06-07,2026-02-27,24.73
Caroline Nokes,4048,2010-05-06,2026-02-27,15.81
Jake Berry,4060,2010-05-06,2024-05-30,14.07
Alexander Stafford,4866,2019-12-12,2024-05-30,4.47
Mark Pawsey,4052,2010-05-06,2024-05-30,14.07
David Simmonds,4872,2019-12-12,2026-02-27,6.21
Ben Spencer,4785,2019-12-12,2026-02-27,6.21
Ruth Edwards,4808,2019-12-12,2024-05-30,4.47
Alicia Kearns,4805,2019-12-12,2026-02-27,6.21
Kemi Badenoch,4597,2017-06-08,2026-02-27,8.72
John Glen,4051,2010-05-06,2026-02-27,15.81
Robert Goodwill,1562,2005-05-05,2024-05-30,19.07
Holly Mumby-Croft,4867,2019-12-12,2024-05-30,4.47
Paul Howell,4830,2019-12-12,2024-05-30,4.47
Nigel Adams,4057,2010-05-06,2023-06-12,13.1
Laura Trott,4780,2019-12-12,2026-02-27,6.21
Mark Spencer,4055,2010-05-06,2024-05-30,14.07
Philip Davies,1565,2005-05-05,2024-05-30,19.07
Daniel Kawczynski,1566,2005-05-05,2024-05-30,19.07
Gordon Henderson,4050,2010-05-06,2024-05-30,14.07
Julian Smith,4118,2010-05-06,2026-02-27,15.81
Caroline Johnson,4592,2016-12-08,2026-02-27,9.22
Julian Knight,4410,2015-05-07,2024-05-30,9.07
David Warburton,4526,2015-05-07,2023-06-19,8.12
Stephen Metcalfe,4092,2010-05-06,2024-05-30,14.07
Anthony Browne,4801,2019-12-12,2024-05-30,4.47
Heather Wheeler,4053,2010-05-06,2024-05-30,14.07
Richard Drax,4132,2010-05-06,2024-05-30,14.07
Lucy Frazer,4517,2015-05-07,2024-05-30,9.07
Sheryll Murray,4100,2010-05-06,2024-05-30,14.07
John Hayes,350,1997-05-01,2026-02-27,28.83
Alberto Costa,4439,2015-05-07,2026-02-27,10.81
Richard Bacon,1451,2001-06-07,2024-05-30,22.98
Andrea Leadsom,4117,2010-05-06,2024-05-30,14.07
Katherine Fletcher,4834,2019-12-12,2024-05-30,4.47
Gavin Williamson,4108,2010-05-06,2026-02-27,15.81
James Cartlidge,4519,2015-05-07,2026-02-27,10.81
Robert Buckland,4106,2010-05-06,2024-05-30,14.07
Andrew Selous,1453,2001-06-07,2024-05-30,22.98
Gary Streeter,234,1992-04-09,2024-05-30,32.14
Gagan Mohindra,4804,2019-12-12,2026-02-27,6.21
Elizabeth Truss,4097,2010-05-06,2024-05-30,14.07
Jeremy Hunt,1572,2005-05-05,2026-02-27,20.82
Andrew Murrison,1466,2001-06-07,2026-02-27,24.73
Royston Smith,4478,2015-05-07,2024-05-30,9.07
David Amess,44,1983-06-09,2021-10-15,38.35
Damien Moore,4669,2017-06-08,2024-05-30,6.98
Kwasi Kwarteng,4134,2010-05-06,2024-05-30,14.07
Steve Double,4452,2015-05-07,2024-05-30,9.07
Derek Thomas,4532,2015-05-07,2024-05-30,9.07
Theo Clarke,4819,2019-12-12,2024-05-30,4.47
Karen Bradley,4110,2010-05-06,2026-02-27,15.81
Stephen McPartland,4093,2010-05-06,2024-05-30,14.07
Matt Vickers,4844,2019-12-12,2026-02-27,6.21
Jo Gideon,4817,2019-12-12,2024-05-30,4.47
Jonathan Gullis,4814,2019-12-12,2024-05-30,4.47
Jack Brereton,4643,2017-06-08,2024-05-30,6.98
William Cash,288,1984-05-03,2024-05-30,40.07
Suzanne Webb,4802,2019-12-12,2024-05-30,4.47
Nadhim Zahawi,4113,2010-05-06,2024-05-30,14.07
Siobhan Baillie,4847,2019-12-12,2024-05-30,4.47
Andrew Mitchell,1211,1987-06-11,2026-02-27,34.61
Paul Scully,4414,2015-05-07,2024-05-30,9.07
Christopher Pincher,4075,2010-05-06,2023-09-07,13.34
Esther McVey,4084,2010-05-06,2026-02-27,13.62
Rebecca Pow,4522,2015-05-07,2024-05-30,9.07
Lucy Allan,4411,2015-05-07,2024-05-30,9.07
Laurence Robertson,253,1997-05-01,2024-05-30,27.08
Geoffrey Clifton-Brown,249,1992-04-09,2026-02-27,33.89
Mark Pritchard,1576,2005-05-05,2026-02-27,20.82
Kevin Hollinrake,4474,2015-05-07,2026-02-27,10.81
Luke Hall,4450,2015-05-07,2024-05-30,9.07
Neil Parish,4072,2010-05-06,2022-05-04,11.99
Kevin Foster,4451,2015-05-07,2024-05-30,9.07
Geoffrey Cox,1508,2005-05-05,2026-02-27,20.82
Anthony Mangnall,4762,2019-12-12,2024-05-30,4.47
Cherilyn Mackrory,4758,2019-12-12,2024-05-30,4.47
Boris Johnson,1423,2001-06-07,2023-06-12,15.09
James Davies,4476,2015-05-07,2024-05-30,6.46
Alun Cairns,4086,2010-05-06,2024-05-30,14.07
Imran Ahmad Khan,4841,2019-12-12,2022-05-03,2.39
Eddie Hughes,4635,2017-06-08,2024-05-30,6.98
David Johnston,4761,2019-12-12,2024-05-30,4.47
Andy Carter,4791,2019-12-12,2024-05-30,4.47
Dean Russell,4812,2019-12-12,2024-05-30,4.47
Peter Aldous,4069,2010-05-06,2024-05-30,14.07
Nusrat Ghani,4460,2015-05-07,2026-02-27,10.81
Peter Bone,1581,2005-05-05,2023-12-19,18.62
James Heappey,4528,2015-05-07,2024-05-30,9.07
Grant Shapps,1582,2005-05-05,2024-05-30,19.07
Andrew Bowie,4601,2017-06-08,2026-02-27,8.72
Nicola Richards,4868,2019-12-12,2024-05-30,4.47
Shaun Bailey,4757,2019-12-12,2024-05-30,4.47
Chris Loder,4751,2019-12-12,2024-05-30,4.47
Harriett Baldwin,4107,2010-05-06,2026-02-27,15.81
John Penrose,1584,2005-05-05,2024-05-30,19.07
Stephen Hammond,1585,2005-05-05,2024-05-30,19.07
Adam Afriyie,1586,2005-05-05,2024-05-30,19.07
Priti Patel,4066,2010-05-06,2026-02-27,15.81
Robert Courts,4589,2016-10-20,2024-05-30,7.61
Jonathan Lord,4090,2010-05-06,2024-05-30,14.07
Jane Stevenson,4750,2019-12-12,2024-05-30,4.47
Stuart Anderson,4742,2019-12-12,2026-02-27,6.21
Robin Walker,4091,2010-05-06,2024-05-30,14.07
Mark Jenkinson,4752,2019-12-12,2024-05-30,4.47
Peter Bottomley,117,1975-06-26,2024-05-30,48.93
Sarah Atherton,4855,2019-12-12,2024-05-30,4.47
Steve Baker,4064,2010-05-06,2024-05-30,14.07
Mark Garnier,4074,2010-05-06,2026-02-27,15.81
Ben Wallace,1539,2005-05-05,2024-05-30,19.07
Marcus Fysh,4446,2015-05-07,2024-05-30,9.07
Virginia Crosbie,4859,2019-12-12,2024-05-30,4.47
Julian Sturdy,4079,2010-05-06,2024-05-30,14.07
Stephen Barclay,4095,2010-05-06,2026-02-27,15.81
Jacqueline Doyle-Price,4065,2010-05-06,2024-05-30,14.07
Thomas Tugendhat,4462,2015-05-07,2026-02-27,10.81
Gregory Clark,1578,2005-05-05,2024-05-30,19.07
Matthew Hancock,4070,2010-05-06,2024-05-30,14.07
Stephen Brine,4067,2010-05-06,2024-05-30,14.07
Mark Harper,,,,12.84
Eleanor Laing,,,,12.84
Simon Hart,,,,12.84
Craig Mackinlay,,,,12.84
Rachel Maclean,,,,12.84
David T. C. Davies,,,,12.84
John Redwood,,,,12.84
Alister Jack,,,,12.84
Graham Brady,,,,12.84
Chris Grayling,,,,12.84
Kate Griffiths,,,,12.84
Thérèse Coffey,,,,12.84
Theresa May,,,,12.84
Victoria Prentis,,,,12.84
Alok Sharma,,,,12.84
Michael Gove,,,,12.84
